"Category","Issue","Severity","AffectedObject","Description","Impact","Remediation","DetectedDate","MitreTechnique","AnssiControl","Weight","SeverityLevel","Details","EstimatedEffort","KnownRisks","BackupRollback","OperationalNotes","TestName"
"Legacy Auth & Name Poisoning","SMB Signing Not Required","Critical","synthetic-object-11.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'SMB Signing Not Required', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'SMB Signing Not Required'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'SMB Signing Not Required'.","09/21/2026 20:17:13","T1557.001","vuln1_smb_signing_not_required","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - requiring SMB signing domain/DC-wide can affect performance and legacy client compatibility, so validate with a monitoring window per Microsoft's own guidance.","Requiring SMB signing adds CPU overhead per SMB packet and can break or slow legacy SMB clients or devices that don't support it.","Easy - revert the GPO setting; effective at next Group Policy refresh, no data loss.","",""
"Admin Equivalence","SID History Injection (Same Domain)","Critical","synthetic-object-12.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'SID History Injection (Same Domain)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'SID History Injection (Same Domain)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'SID History Injection (Same Domain)'.","09/21/2026 20:17:13","T1134.005","vuln1_sid_history_injection","40","4","{""Tier"":""50pct"",""Synthetic"":true}","High - this is an active-compromise indicator, not a configuration fix; it requires incident-response engagement, forensic investigation, and likely a KRBTGT password reset (twice) if a Golden Ticket is suspected, not a single change.","Resetting the account or clearing sIDHistory while an attacker may still have persistence elsewhere (forged tickets, other backdoors) can tip them off without fully evicting them, so this needs IR judgment, not just a config change.","Hard/Limited - this isn't a reversible setting; it's an incident-response action (reset/disable the account and investigate origin) with no rollback concept.","Engage incident response before making changes if compromise is suspected, since a same-domain sIDHistory entry is a well-documented Golden Ticket/injection indicator rather than a misconfiguration.",""
"Domain Trusts","SID Filtering Disabled on External Trust","Critical","synthetic-object-13.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'SID Filtering Disabled on External Trust', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'SID Filtering Disabled on External Trust'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'SID Filtering Disabled on External Trust'.","09/21/2026 20:17:13","T1134.005","vuln1_sid_filtering_disabled","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - a single trust property toggle.","SID filtering blocks SID-history-based authorization across the trust, so if the other domain legitimately relies on SID history for migrated accounts to retain access, enabling filtering can break that access; confirm no active migration depends on it.","Easy - toggle SID filtering back off; effective immediately, no data loss.","",""
"Admin Equivalence","Shadow Credentials Detected","Critical","synthetic-object-14.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Shadow Credentials Detected', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Shadow Credentials Detected'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Shadow Credentials Detected'.","09/21/2026 20:17:13","T1556","vuln1_shadow_credentials","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - clearing the msDS-KeyCredentialLink attribute is a single-attribute change on one object.","Removing an unauthorized key credential has no legitimate compatibility impact unless it is actually a currently-enrolled Windows Hello for Business or passwordless-auth key, so confirm the key isn't legitimate before clearing.","Moderate - export the current msDS-KeyCredentialLink value before clearing so a legitimate key can be restored if the removal turns out to affect a real passwordless sign-in.","",""
"Schema Integrity","Schema defaultSecurityDescriptor Modified","Critical","synthetic-object-15.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Schema defaultSecurityDescriptor Modified', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Schema defaultSecurityDescriptor Modified'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Schema defaultSecurityDescriptor Modified'.","09/21/2026 20:17:13","T1098","vuln1_schema_default_sd","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - schema changes require Schema Admins and are forest-wide; validate the corrected SDDL in a lab before applying to production.","Restoring the default defaultSecurityDescriptor does not retroactively fix already-created objects that inherited the modified ACL at creation time - those objects need to be separately identified and remediated.","Difficult - schema attribute value changes are not easily reverted once objects have been created under the modified default; back up the current value and plan for a separate remediation pass on already-affected objects.","",""
"Stale-Object & Hygiene Depth","Rogue NTDS Settings Object Detected","Critical","synthetic-object-16.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Rogue NTDS Settings Object Detected', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Rogue NTDS Settings Object Detected'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Rogue NTDS Settings Object Detected'.","09/21/2026 20:17:13","T1207","vuln1_rogue_ntds_object","40","4","{""Tier"":""50pct"",""Synthetic"":true}","High - this requires an incident-response-style investigation (replication metadata, event log correlation, timeline reconstruction) before any cleanup action, not a routine configuration fix.","Deleting the object directly (rather than via documented DC metadata cleanup) can leave inconsistent replication metadata across the forest; treat this as a potential security incident requiring investigation before remediation, not a routine hygiene item.","N/A - this is a detection/investigation finding; remediation should follow Microsoft's documented metadata-cleanup procedure once the object is confirmed non-legitimate.","",""
"User Account","Reversible Password Encryption","Critical","synthetic-object-17.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Reversible Password Encryption', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Reversible Password Encryption'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Reversible Password Encryption'.","09/21/2026 20:17:13","T1003","vuln1_reversible_password","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - a single userAccountControl flag (ENCRYPTED_TEXT_PWD_ALLOWED) per account.","The existing reversibly-encrypted copy of the password persists until the account's next password change, so disabling the flag alone doesn't retroactively protect the current password.","Easy - revert the flag; no data loss, though not retroactive to the already-stored reversible copy.","",""
"Domain Security","Reversible Encryption Enabled Domain-Wide","Critical","synthetic-object-18.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Reversible Encryption Enabled Domain-Wide', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Reversible Encryption Enabled Domain-Wide'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Reversible Encryption Enabled Domain-Wide'.","09/21/2026 20:17:13","T1003","vuln1_reversible_domain_wide","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - disabling the setting alone doesn't clear already-stored reversibly-encrypted password copies for existing accounts, so plan a follow-up forced password change for previously affected accounts.","The existing stored reversible-encryption copy persists for each account until its next password change, so disabling the GPO setting alone doesn't retroactively protect current passwords, a documented Microsoft behavior.","Easy - revert the GPO setting; no data loss, though re-enabling doesn't restore already-cleared reversible copies.","",""
"Admin Equivalence","Privileged SID in History","Critical","synthetic-object-19.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Privileged SID in History', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Privileged SID in History'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Privileged SID in History'.","09/21/2026 20:17:13","T1134.005","vuln1_privileged_sid_history","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - clearing sIDHistory is simple technically, but confirming the account isn't an active cross-domain migration in progress requires checking with whoever ran the migration.","If a domain migration is still underway, clearing sIDHistory before every migrated resource's ACL has been updated to the new SID can break the migrated user's access to resources that still only trust the old SID.","Hard/Limited - sIDHistory can't be restored to its prior value without re-injecting it via the same migration tooling (e.g. ADMT) that originally populated it; treat clearing it as a one-way cleanup once confirmed unauthorized.","",""
"Uncategorized (Synthetic)","Privileged Account with SPN (Kerberoasting Risk)","Critical","synthetic-object-20.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Privileged Account with SPN (Kerberoasting Risk)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Privileged Account with SPN (Kerberoasting Risk)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Privileged Account with SPN (Kerberoasting Risk)'.","09/21/2026 20:17:13","T1558.003","vuln1_priv_spn_kerberoast","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - same as the non-privileged version, but the higher blast radius (a privileged account) makes coordinating the gMSA migration or password rotation with the service owner more urgent.","A privileged service account with an SPN and a weak/crackable password is a high-value Kerberoasting target, since cracking it yields privileged access directly; migrating to a gMSA is the standard fix but requires the hosting application to support it.","Easy - if gMSA migration isn't viable, revert to the original account with a long/complex manually-set password; no data loss, though any ticket captured before the change remains crackable until the old password is retired.","",""
"Read-Only Domain Controller Security Posture","Privileged Account Revealed to RODC","Critical","synthetic-object-21.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Privileged Account Revealed to RODC', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Privileged Account Revealed to RODC'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Privileged Account Revealed to RODC'.","09/21/2026 20:17:13","T1003","vuln1_rodc_privileged_revealed","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - the exposed account's password must be reset and the Password Replication Policy corrected; this is a credential-exposure event on that RODC, not just a config change.","Once a password has been cached on an RODC it must be treated as exposed to anyone with local admin or physical access to that RODC, per the standard RODC security model (RODCs are assumed to be physically less secure); correcting the policy going forward does not undo the existing cached credential.","Hard/Limited - the credential exposure itself can't be rolled back, only remediated by resetting the account's password; the Password Replication Policy setting itself, however, can be easily reverted.","",""
"Coercion & Relay Exposure","Print Spooler Running on Domain Controller","Critical","synthetic-object-22.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Print Spooler Running on Domain Controller', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Print Spooler Running on Domain Controller'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Print Spooler Running on Domain Controller'.","09/21/2026 20:17:13","T1187","vuln1_dc_spooler_running","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - stop and disable a single service on each DC (or via GPO).","Disabling the Spooler service on a DC breaks any printing initiated directly from that DC itself, which is essentially never a legitimate DC role; it has no effect on printing by domain clients, which don't route jobs through DCs.","Easy - re-enable and start the service; effective immediately, no data loss.","",""
"Certificate Services","Overly Permissive CA Permissions (ESC7)","Critical","synthetic-object-23.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Overly Permissive CA Permissions (ESC7)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Overly Permissive CA Permissions (ESC7)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Overly Permissive CA Permissions (ESC7)'.","09/21/2026 20:17:13","T1649","vuln1_adcs_esc7","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - removing Manage CA / Manage Certificates rights from an unexpected principal on the CA object's own ACL; confirm with the PKI team it isn't a legitimate delegated administrator.","Procedural - confirm the principal isn't an active, legitimate delegated CA administrator before removing their rights.","Easy - re-add the removed permission via the CA console's Security tab; effective immediately, no data loss.","",""
"Uncategorized (Synthetic)","Non-Standard Permissions on Schema Naming Context","Critical","synthetic-object-24.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Non-Standard Permissions on Schema Naming Context', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Non-Standard Permissions on Schema Naming Context'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Non-Standard Permissions on Schema Naming Context'.","09/21/2026 20:17:13","T1098","vuln1_schema_nc_acl","40","4","{""Tier"":""50pct"",""Synthetic"":true}","","","","",""
"Uncategorized (Synthetic)","Non-Standard Permissions on Configuration Naming Context","Critical","synthetic-object-25.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Non-Standard Permissions on Configuration Naming Context', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Non-Standard Permissions on Configuration Naming Context'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Non-Standard Permissions on Configuration Naming Context'.","09/21/2026 20:17:13","T1098","vuln1_config_nc_acl","40","4","{""Tier"":""50pct"",""Synthetic"":true}","","","","",""
"AdminSDHolder","Non-Standard Permissions on AdminSDHolder","Critical","synthetic-object-26.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Non-Standard Permissions on AdminSDHolder', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Non-Standard Permissions on AdminSDHolder'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Non-Standard Permissions on AdminSDHolder'.","09/21/2026 20:17:13","T1098","vuln1_adminsdholder_acl","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - a single-object ACE removal, but AdminSDHolder's SDProp mechanism propagates the corrected ACL to every protected (Tier-0) object domain-wide, so confirm the trustee isn't a legitimate delegated Tier-0 management tool first.","Procedural - confirm the trustee isn't an intentional, currently-used Tier-0 delegation before removing; there is no realistic legitimate compatibility break otherwise.","Moderate - export the current ACL first; full effect across every protected object depends on SDProp's next propagation cycle, not just AD replication.","",""
"DNS Security","Non-Default Members in DnsAdmins","Critical","synthetic-object-27.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Non-Default Members in DnsAdmins', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Non-Default Members in DnsAdmins'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Non-Default Members in DnsAdmins'.","09/21/2026 20:17:13","T1574.002","vuln1_dnsadmins_members","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - removing an unexpected member from one group.","DnsAdmins membership is a well-documented privilege-escalation vector (historical DNS-server-service DLL abuse); removing an unexpected member has no legitimate compatibility risk beyond that person losing DNS management rights, so confirm with them first.","Easy - re-add the member if needed; effective on next Kerberos ticket refresh, no data loss.","",""
"Managed Service Accounts","Non-Default Access to gMSA KDS Root Key","Critical","synthetic-object-28.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Non-Default Access to gMSA KDS Root Key', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Non-Default Access to gMSA KDS Root Key'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Non-Default Access to gMSA KDS Root Key'.","09/21/2026 20:17:13","T1552.005","vuln1_gmsa_kds_root_key","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - a targeted ACE removal on one forest-level container, but confirm the principal isn't a legitimate delegated PKI/identity-management tool before removing.","No legitimate gMSA host or consumer needs direct access to the KDS root key object itself (they retrieve their own gMSA's password via msDS-ManagedPassword, not this key) - removing an unexpected grant has no legitimate compatibility impact unless it is an undocumented, currently-in-use PKI/identity tool, so confirm first.","Moderate - export the current ACL before removing the specific ACE(s) so they can be restored if a legitimate dependency surfaces.","",""
